label,message
ham,Please send me the project report.
ham,I have sent the email you requested.
ham,Let's meet tomorrow at 10 AM.
spam,Free voucher waiting for you. Redeem it now.
ham,We can discuss this after lunch.
ham,Can you call me when you are free?
ham,Your mobile recharge was successful.
ham,Your application has been received and is under review.
spam,Your loan eligibility has been approved. Complete verification now.
spam,Limited-time loan offer. Apply before the offer expires.
ham,Can you call me when you are free?
spam,Get 50000 instantly in your bank account. Apply now.
spam,Free voucher waiting for you. Redeem it now.
spam,Work from home and earn 50000 daily. Register now.
spam,Special deal just for you. Buy now and save big.
ham,Please share the photos from the event.
ham,Can you review this document?
ham,I will reach home in ten minutes.
ham,I am waiting outside the office.
spam,Get a FREE gift today. Limited time offer.
ham,Your appointment is confirmed.
spam,You are a lucky winner. Contact us immediately.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
ham,The class starts at nine tomorrow.
ham,Please share the photos from the event.
spam,Instant personal loan available. Apply now.
ham,We can discuss this after lunch.
spam,Claim your cashback of 100000 before it expires.
spam,Your bank account will be blocked. Verify your details now.
ham,Your order is out for delivery.
spam,Claim your cashback of 50000 before it expires.
ham,The meeting is scheduled for 3 PM.
spam,Your account has been selected for a special cashback reward.
ham,Can you review this document?
ham,Your bank account was credited with your salary.
ham,Your electricity bill payment was successful.
ham,"Hey, how are you?"
spam,Your 25000 loan is waiting. Click to complete your application.
spam,Congratulations! You are pre-approved for a 25000 loan.
spam,You have received a special investment offer. Guaranteed returns available.
ham,Please send me the project report.
ham,The meeting is scheduled for 3 PM.
ham,Your electricity bill payment was successful.
ham,Your bank account was credited with your salary.
ham,I will send the files tonight.
ham,The meeting is scheduled for 3 PM.
spam,You are a lucky winner. Contact us immediately.
ham,The class starts at nine tomorrow.
spam,Click now to activate your reward.
ham,Let's meet tomorrow at 10 AM.
spam,WINNER! You are eligible for a special reward. Claim now.
ham,Your appointment is confirmed.
ham,Let's meet tomorrow at 10 AM.
ham,The payment of 100000 was received successfully.
ham,I have sent the email you requested.
spam,Instant personal loan available. Apply now.
spam,URGENT: Verify your details to receive your reward.
spam,Your account has been selected for a special cashback reward.
spam,You have received a special investment offer. Guaranteed returns available.
ham,I have sent the email you requested.
spam,Get 25000 instantly in your bank account. Apply now.
spam,Exclusive lottery notification. Claim your prize today.
ham,"Hey, how are you?"
ham,Your order is out for delivery.
ham,"Hey, how are you?"
spam,Special loan offer available only for you. Apply now.
ham,Your bank account was credited with your salary.
ham,The meeting is scheduled for 3 PM.
spam,Get an instant loan with minimal documents. Apply today.
spam,Free recharge available. Click here to activate.
spam,You have been selected for a high-paying job. Pay the registration fee now.
ham,See you tomorrow morning.
spam,URGENT: Verify your details to receive your reward.
spam,URGENT: Verify your details to receive your reward.
spam,Free voucher waiting for you. Redeem it now.
spam,Act now to receive your guaranteed cash prize.
ham,Please share the photos from the event.
spam,You are eligible for an instant cash loan. Get money today.
spam,Claim your cashback of 6000 before it expires.
spam,Congratulations! You are pre-approved for a 100000 loan.
spam,You are eligible for an instant cash loan. Get money today.
ham,Your transaction was completed successfully.
ham,Please contact customer support using the official number.
spam,You have received a special investment offer. Guaranteed returns available.
spam,You have been selected for a high-paying job. Pay the registration fee now.
ham,The payment of 50000 was received successfully.
ham,Can you review this document?
ham,The class starts at nine tomorrow.
spam,Work from home and earn 10000 daily. Register now.
spam,Your account has been selected for a special cashback reward.
spam,You have won a lottery prize. Click now to claim your money.
ham,Please share the photos from the event.
ham,Let me know when you arrive.
ham,See you tomorrow morning.
ham,Your application has been received and is under review.
ham,"Hey, how are you?"
spam,Urgent KYC verification required. Submit your details immediately.
ham,Please send me the project report.
spam,Exclusive lottery notification. Claim your prize today.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
ham,Let me know when you arrive.
ham,I will send the files tonight.
ham,The meeting is scheduled for 3 PM.
ham,Your transaction was completed successfully.
spam,WINNER! You are eligible for a special reward. Claim now.
ham,Thanks for your help today.
spam,Exclusive offer! Claim your reward before it expires.
ham,Your statement is available in the banking app.
spam,Get an instant loan with minimal documents. Apply today.
spam,Exclusive lottery notification. Claim your prize today.
ham,See you tomorrow morning.
spam,Congratulations! You have won a free prize. Claim now.
spam,Limited offer! Get a huge discount today.
ham,The class starts at nine tomorrow.
spam,Double your money quickly with this exclusive investment opportunity.
spam,Get 6000 instantly in your bank account. Apply now.
spam,Work from home and earn 100000 daily. Register now.
spam,"Congratulations, your number has won a lucky draw."
ham,I have sent the email you requested.
spam,Limited offer! Get a huge discount today.
ham,Can you review this document?
spam,Act now to receive your guaranteed cash prize.
spam,Your 6000 loan is waiting. Click to complete your application.
ham,Your transaction was completed successfully.
ham,Your order has been delivered successfully.
spam,KYC update required immediately. Click the link to avoid account suspension.
ham,Your application has been received and is under review.
ham,Your statement is available in the banking app.
spam,Your 6000 loan is waiting. Click to complete your application.
ham,Please share the photos from the event.
spam,Free recharge available. Click here to activate.
spam,Limited-time loan offer. Apply before the offer expires.
ham,I will reach home in ten minutes.
ham,Please remind me about the appointment.
ham,Your appointment is confirmed.
ham,I am waiting outside the office.
spam,WINNER! You are eligible for a special reward. Claim now.
spam,KYC update required immediately. Click the link to avoid account suspension.
spam,Exclusive offer! Claim your reward before it expires.
spam,Exclusive lottery notification. Claim your prize today.
ham,Your mobile recharge was successful.
ham,Your transaction was completed successfully.
ham,Thanks for your help today.
ham,Please contact customer support using the official number.
ham,Please contact customer support using the official number.
ham,I am waiting outside the office.
spam,Your 200000 loan is waiting. Click to complete your application.
spam,Get your free coupon now. Offer ends soon.
ham,Your order is out for delivery.
ham,I will reach home in ten minutes.
spam,Double your money quickly with this exclusive investment opportunity.
ham,The payment of 50000 was received successfully.
spam,Your account has been selected for a special cashback reward.
spam,Click now to activate your reward.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
ham,The meeting is scheduled for 3 PM.
spam,KYC update required immediately. Click the link to avoid account suspension.
spam,Limited-time loan offer. Apply before the offer expires.
spam,Your loan eligibility has been approved. Complete verification now.
spam,Exclusive lottery notification. Claim your prize today.
spam,WINNER! You are eligible for a special reward. Claim now.
ham,The payment of 25000 was received successfully.
ham,We can discuss this after lunch.
spam,Limited offer! Get a huge discount today.
spam,Instant personal loan available. Apply now.
spam,You are eligible for an instant cash loan. Get money today.
ham,I will reach home in ten minutes.
spam,Limited offer! Get a huge discount today.
spam,Special loan offer available only for you. Apply now.
spam,Instant personal loan available. Apply now.
ham,Your electricity bill payment was successful.
ham,I will reach home in ten minutes.
ham,Thanks for your help today.
spam,Free recharge available. Click here to activate.
spam,Limited-time loan offer. Apply before the offer expires.
spam,Your bank account will be blocked. Verify your details now.
ham,I am waiting outside the office.
ham,Your transaction was completed successfully.
ham,I will reach home in ten minutes.
ham,Your bank account was credited with your salary.
spam,Your bank account will be blocked. Verify your details now.
spam,Your loan eligibility has been approved. Complete verification now.
ham,"Hey, how are you?"
spam,Your bank account will be blocked. Verify your details now.
spam,Exclusive offer! Claim your reward before it expires.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
ham,I am waiting outside the office.
spam,KYC update required immediately. Click the link to avoid account suspension.
ham,Your statement is available in the banking app.
ham,Can you pick me up from the station?
ham,I will reach home in ten minutes.
ham,Let's meet tomorrow at 10 AM.
spam,Limited-time loan offer. Apply before the offer expires.
ham,"Hey, how are you?"
spam,You are eligible for a loan of 25000. Apply immediately.
ham,Your electricity bill payment was successful.
spam,You have been selected for a high-paying job. Pay the registration fee now.
ham,Thanks for your help today.
spam,"Congratulations, your number has won a lucky draw."
spam,Limited offer! Get a huge discount today.
spam,You have been selected for a special promotion. Claim now.
ham,Your bank account was credited with your salary.
spam,Low interest personal loan available. Apply immediately.
spam,Your account has been selected for a special cashback reward.
ham,Please bring the charger with you.
spam,Need urgent cash? Get a personal loan of 25000 now.
ham,Can you call me when you are free?
ham,Your electricity bill payment was successful.
spam,Click now to activate your reward.
ham,Can you review this document?
ham,I have sent the email you requested.
spam,Claim your bonus before the offer expires.
spam,Your 6000 loan is waiting. Click to complete your application.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
ham,Let me know when you arrive.
spam,Limited-time loan offer. Apply before the offer expires.
spam,Claim your bonus before the offer expires.
spam,Congratulations! You have won a free prize. Claim now.
spam,Limited-time loan offer. Apply before the offer expires.
ham,I will reach home in ten minutes.
ham,Your mobile recharge was successful.
spam,Special deal just for you. Buy now and save big.
spam,You have been selected for a special promotion. Claim now.
spam,KYC update required immediately. Click the link to avoid account suspension.
ham,I am waiting outside the office.
ham,Your order has been delivered successfully.
spam,Your account has been selected for a special cashback reward.
ham,See you tomorrow morning.
spam,You are eligible for a loan of 25000. Apply immediately.
spam,Your loan eligibility has been approved. Complete verification now.
ham,Your statement is available in the banking app.
ham,I will send the files tonight.
spam,Urgent KYC verification required. Submit your details immediately.
ham,I will send the files tonight.
ham,Your statement is available in the banking app.
ham,Thanks for your help today.
ham,The class starts at nine tomorrow.
ham,Your electricity bill payment was successful.
spam,Instant personal loan available. Apply now.
ham,We can discuss this after lunch.
spam,Claim your cashback of 200000 before it expires.
ham,I will send the files tonight.
spam,Get an instant loan with minimal documents. Apply today.
ham,Let me know when you arrive.
spam,Limited-time loan offer. Apply before the offer expires.
ham,Your order has been delivered successfully.
ham,Your appointment is confirmed.
ham,Your mobile recharge was successful.
ham,"Hey, how are you?"
spam,Free recharge available. Click here to activate.
spam,Your loan eligibility has been approved. Complete verification now.
spam,Limited offer! Get a huge discount today.
spam,Low interest personal loan available. Apply immediately.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
ham,"Hey, how are you?"
spam,Low interest personal loan available. Apply immediately.
ham,"Hey, how are you?"
ham,Can you call me when you are free?
spam,You are a lucky winner. Contact us immediately.
ham,Can you review this document?
ham,Let me know when you arrive.
spam,Double your money quickly with this exclusive investment opportunity.
spam,Claim your cashback of 6000 before it expires.
spam,Your loan eligibility has been approved. Complete verification now.
ham,Your order is out for delivery.
spam,Congratulations! You have won a free prize. Claim now.
spam,Double your money quickly with this exclusive investment opportunity.
spam,Free voucher waiting for you. Redeem it now.
spam,Click now to activate your reward.
ham,Your bank account was credited with your salary.
spam,You are eligible for a loan of 100000. Apply immediately.
spam,Exclusive lottery notification. Claim your prize today.
spam,Limited-time loan offer. Apply before the offer expires.
spam,Your account has been selected for a special cashback reward.
spam,Your account has been selected for a special cashback reward.
ham,We can discuss this after lunch.
spam,Instant personal loan available. Apply now.
ham,Can you pick me up from the station?
ham,Please share the photos from the event.
spam,Limited offer! Get a huge discount today.
spam,Get a FREE gift today. Limited time offer.
spam,Low interest personal loan available. Apply immediately.
spam,Free voucher waiting for you. Redeem it now.
spam,Work from home and earn 200000 daily. Register now.
spam,Exclusive offer! Claim your reward before it expires.
spam,You have been selected for a special promotion. Claim now.
spam,Work from home and earn 200000 daily. Register now.
spam,You have been selected for a high-paying job. Pay the registration fee now.
spam,Claim your cashback of 50000 before it expires.
spam,Act now to receive your guaranteed cash prize.
spam,Free recharge available. Click here to activate.
ham,The payment of 25000 was received successfully.
spam,Need urgent cash? Get a personal loan of 25000 now.
spam,Congratulations! You have won a free prize. Claim now.
ham,Your electricity bill payment was successful.
ham,Your mobile recharge was successful.
ham,I will send the files tonight.
spam,Claim your bonus before the offer expires.
spam,Free recharge available. Click here to activate.
spam,WINNER! You are eligible for a special reward. Claim now.
spam,Special loan offer available only for you. Apply now.
ham,Your order is out for delivery.
ham,Your appointment is confirmed.
ham,Your transaction was completed successfully.
spam,Claim your bonus before the offer expires.
ham,Your appointment is confirmed.
ham,Please send me the project report.
spam,You have won a lottery prize. Click now to claim your money.
ham,Your appointment is confirmed.
ham,Please remind me about the appointment.
ham,I will send the files tonight.
ham,The meeting is scheduled for 3 PM.
spam,Urgent KYC verification required. Submit your details immediately.
ham,The payment of 25000 was received successfully.
ham,I will send the files tonight.
ham,Please send me the project report.
spam,Get your free coupon now. Offer ends soon.
spam,You have received a special investment offer. Guaranteed returns available.
ham,Let me know when you arrive.
spam,Exclusive offer! Claim your reward before it expires.
spam,Get an instant loan with minimal documents. Apply today.
ham,Your order has been delivered successfully.
spam,Exclusive lottery notification. Claim your prize today.
ham,Your appointment is confirmed.
ham,Let me know when you arrive.
ham,Your order has been delivered successfully.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
spam,Get your free coupon now. Offer ends soon.
ham,Please send me the project report.
spam,Work from home and earn 6000 daily. Register now.
ham,I will send the files tonight.
ham,The payment of 200000 was received successfully.
ham,I will send the files tonight.
spam,You have won a cash bonus. Verify your account immediately.
ham,Your order has been delivered successfully.
spam,You have been selected for a special promotion. Claim now.
spam,Get 50000 instantly in your bank account. Apply now.
spam,URGENT: Verify your details to receive your reward.
ham,I will reach home in ten minutes.
ham,Your electricity bill payment was successful.
spam,Get a FREE gift today. Limited time offer.
ham,Please share the photos from the event.
ham,Please contact customer support using the official number.
spam,Get your free coupon now. Offer ends soon.
ham,Your appointment is confirmed.
spam,Get your free coupon now. Offer ends soon.
spam,You have been selected for a special promotion. Claim now.
ham,Can you call me when you are free?
ham,Your electricity bill payment was successful.
ham,Can you pick me up from the station?
ham,Let me know when you arrive.
spam,Click now to activate your reward.
spam,Click now to activate your reward.
spam,Get your free coupon now. Offer ends soon.
ham,Thanks for your help today.
spam,Congratulations! You are pre-approved for a 200000 loan.
ham,I have sent the email you requested.
ham,Your statement is available in the banking app.
ham,Can you review this document?
ham,Your order has been delivered successfully.
spam,WINNER! You are eligible for a special reward. Claim now.
spam,WINNER! You are eligible for a special reward. Claim now.
spam,You are eligible for an instant cash loan. Get money today.
ham,Let me know when you arrive.
ham,I will reach home in ten minutes.
spam,Limited-time loan offer. Apply before the offer expires.
spam,Low interest personal loan available. Apply immediately.
ham,See you tomorrow morning.
ham,I am waiting outside the office.
spam,You have received a special investment offer. Guaranteed returns available.
spam,You are eligible for a loan of 10000. Apply immediately.
ham,I have sent the email you requested.
spam,You have won a cash bonus. Verify your account immediately.
spam,Your bank account will be blocked. Verify your details now.
spam,You are eligible for an instant cash loan. Get money today.
spam,Limited offer! Get a huge discount today.
spam,Your loan eligibility has been approved. Complete verification now.
ham,We can discuss this after lunch.
spam,You have won a lottery prize. Click now to claim your money.
spam,Double your money quickly with this exclusive investment opportunity.
spam,You have been selected for a special promotion. Claim now.
ham,Your order has been delivered successfully.
spam,Get 200000 instantly in your bank account. Apply now.
spam,Claim your cashback of 50000 before it expires.
spam,WINNER! You are eligible for a special reward. Claim now.
spam,Your bank account will be blocked. Verify your details now.
spam,Special loan offer available only for you. Apply now.
spam,URGENT: Verify your details to receive your reward.
spam,Free voucher waiting for you. Redeem it now.
ham,Let me know when you arrive.
ham,Your application has been received and is under review.
spam,Exclusive offer! Claim your reward before it expires.
ham,See you tomorrow morning.
spam,You are eligible for an instant cash loan. Get money today.
spam,Your 100000 loan is waiting. Click to complete your application.
spam,Your bank account will be blocked. Verify your details now.
spam,You have won a cash bonus. Verify your account immediately.
ham,I am waiting outside the office.
ham,Please send me the project report.
spam,Limited offer! Get a huge discount today.
spam,Your 10000 loan is waiting. Click to complete your application.
ham,Please remind me about the appointment.
ham,Please share the photos from the event.
spam,Instant personal loan available. Apply now.
spam,Click now to activate your reward.
ham,See you tomorrow morning.
ham,Let's meet tomorrow at 10 AM.
spam,You are eligible for an instant cash loan. Get money today.
ham,I will reach home in ten minutes.
ham,Your transaction was completed successfully.
ham,Let me know when you arrive.
ham,Please send me the project report.
spam,Your loan eligibility has been approved. Complete verification now.
ham,Thanks for your help today.
ham,The payment of 50000 was received successfully.
spam,Congratulations! You have won a free prize. Claim now.
spam,Your 25000 loan is waiting. Click to complete your application.
spam,Special deal just for you. Buy now and save big.
spam,Exclusive offer! Claim your reward before it expires.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
spam,Low interest personal loan available. Apply immediately.
ham,I am waiting outside the office.
spam,Special loan offer available only for you. Apply now.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
spam,Claim your cashback of 200000 before it expires.
spam,Your bank account will be blocked. Verify your details now.
spam,URGENT: Verify your details to receive your reward.
ham,Your order has been delivered successfully.
ham,I am waiting outside the office.
spam,Click now to activate your reward.
spam,Claim your cashback of 6000 before it expires.
ham,Your order is out for delivery.
spam,Your loan eligibility has been approved. Complete verification now.
ham,The meeting is scheduled for 3 PM.
ham,Can you call me when you are free?
spam,Special deal just for you. Buy now and save big.
ham,Let's meet tomorrow at 10 AM.
spam,You are a lucky winner. Contact us immediately.
spam,Act now to receive your guaranteed cash prize.
spam,KYC update required immediately. Click the link to avoid account suspension.
ham,Can you pick me up from the station?
ham,The meeting is scheduled for 3 PM.
spam,Get an instant loan with minimal documents. Apply today.
ham,The payment of 50000 was received successfully.
ham,The class starts at nine tomorrow.
ham,Thanks for your help today.
ham,See you tomorrow morning.
ham,Your transaction was completed successfully.
ham,Your appointment is confirmed.
spam,Your account has been selected for a special cashback reward.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
spam,Limited offer! Get a huge discount today.
ham,Your order is out for delivery.
spam,URGENT! You have been selected for a cash reward. Claim immediately.
ham,Your statement is available in the banking app.
ham,I will reach home in ten minutes.
ham,We can discuss this after lunch.
ham,I will send the files tonight.
spam,"Congratulations, your number has won a lucky draw."
spam,Your loan eligibility has been approved. Complete verification now.
ham,Your order has been delivered successfully.
